country_code,country_name,region,consumption_raw,consumption_norm,consumption_pts,healthcare_access_raw,healthcare_access_norm,healthcare_access_pts,gdp_raw,gdp_norm,gdp_pts,neighbor_resistance_raw,neighbor_resistance_norm,neighbor_resistance_pts,travel_raw,travel_norm,travel_pts,outbreak_raw,outbreak_norm,outbreak_pts,blindspot_risk_score
MCO,Monaco,Europe,0.0,1.0,0.25,0.0,1.0,0.2,215462.77,0.0,0.0,0.102,0.4361,0.0872,14693.4,0.0002,0.0,4,0.1,0.01,0.5472
MLI,Mali,Africa,11.994476153166666,0.1957,0.0489,45.6,0.544,0.1088,994.36,0.9954,0.1493,0.0,1.0,0.2,176547.2,0.0028,0.0003,11,0.275,0.0275,0.5348
GAB,Gabon,Africa,15.261629968999998,0.2491,0.0623,51.4,0.486,0.0972,7688.08,0.9643,0.1446,0.0,1.0,0.2,64345.08,0.001,0.0001,9,0.225,0.0225,0.5267
RWA,Rwanda,Africa,8.662656812,0.1414,0.0354,47.8,0.522,0.1044,907.34,0.9958,0.1494,0.0,1.0,0.2,1181064.85,0.0185,0.0018,10,0.25,0.025,0.516
MDV,Maldives,Asia,22.64228549657143,0.3695,0.0924,75.5,0.245,0.049,10736.79,0.9502,0.1425,0.0,1.0,0.2,944563.61,0.0148,0.0015,9,0.225,0.0225,0.5079
CYP,Cyprus,Asia,29.385578628,0.4796,0.1199,85.3,0.147,0.0294,32030.02,0.8513,0.1277,0.0,1.0,0.2,353455.2,0.0055,0.0006,8,0.2,0.02,0.4976
MLT,Malta,Europe,21.47998183675,0.3505,0.0876,85.1,0.149,0.0298,35782.94,0.8339,0.1251,0.0,1.0,0.2,1576262.55,0.0248,0.0025,9,0.225,0.0225,0.4675
MYS,Malaysia,Asia,17.957006249,0.293,0.0732,66.6,0.334,0.0668,10984.29,0.949,0.1423,0.1287,0.5502,0.11,31837543.27,0.4999,0.05,10,0.25,0.025,0.4673
HND,Honduras,Americas,5.2780852306,0.0861,0.0215,53.9,0.461,0.0922,2755.17,0.9872,0.1481,0.2081,0.8897,0.1779,343200.5,0.0054,0.0005,10,0.25,0.025,0.4652
GEO,Georgia,Asia,21.00162526875,0.3427,0.0857,62.1,0.379,0.0758,5827.85,0.973,0.146,0.1492,0.6379,0.1276,231058.4,0.0036,0.0004,9,0.225,0.0225,0.458
BTN,Bhutan,Asia,11.1505253198,0.182,0.0455,52.7,0.473,0.0946,3576.36,0.9834,0.1475,0.1811,0.7743,0.1549,133526.34,0.0021,0.0002,6,0.15,0.015,0.4577
OMN,Oman,Asia,6.460594046666667,0.1054,0.0264,77.1,0.229,0.0458,19923.97,0.9075,0.1361,0.0,1.0,0.2,6032932.0,0.0947,0.0095,12,0.3,0.03,0.4478
JOR,Jordan,Asia,33.60238698885714,0.5484,0.1371,76.5,0.235,0.047,4642.33,0.9785,0.1468,0.118,0.5045,0.1009,2580256.0,0.0405,0.0041,3,0.075,0.0075,0.4434
LUX,Luxembourg,Europe,0.0,1.0,0.25,89.3,0.107,0.0214,124294.55,0.4231,0.0635,0.09,0.3848,0.077,1693446.98,0.0266,0.0027,10,0.25,0.025,0.4396
TJK,Tajikistan,Asia,20.713612179125,0.338,0.0845,58.6,0.414,0.0828,966.55,0.9955,0.1493,0.1284,0.549,0.1098,419004.22,0.0066,0.0007,3,0.075,0.0075,0.4346
MNE,Montenegro,Europe,29.388740142625,0.4796,0.1199,80.7,0.193,0.0386,9583.39,0.9555,0.1433,0.1372,0.5866,0.1173,324100.07,0.0051,0.0005,5,0.125,0.0125,0.4321
PER,Peru,Americas,9.7596844065,0.1593,0.0398,69.6,0.304,0.0608,7054.33,0.9673,0.1451,0.1419,0.6067,0.1213,13214317.9,0.2075,0.0208,17,0.425,0.0425,0.4303
SGP,Singapore,Asia,9.496114729,0.155,0.0388,86.3,0.137,0.0274,77267.27,0.6414,0.0962,0.0,1.0,0.2,24589971.52,0.3861,0.0386,11,0.275,0.0275,0.4285
QAT,Qatar,Asia,7.1052421106666666,0.116,0.029,85.2,0.148,0.0296,71834.81,0.6666,0.1,0.0,1.0,0.2,25121726.87,0.3945,0.0395,12,0.3,0.03,0.4281
BLR,Belarus,Europe,20.2253219575,0.3301,0.0825,74.4,0.256,0.0512,7352.35,0.9659,0.1449,0.1479,0.6323,0.1265,1617880.4,0.0254,0.0025,7,0.175,0.0175,0.4251
ISL,Iceland,Europe,18.1047440225,0.2955,0.0739,93.6,0.064,0.0128,71685.58,0.6673,0.1001,0.0,1.0,0.2,3022251.44,0.0475,0.0048,9,0.225,0.0225,0.4141
ARM,Armenia,Asia,12.859889561,0.2099,0.0525,67.5,0.325,0.065,5656.43,0.9737,0.1461,0.1492,0.6379,0.1276,401566.8,0.0063,0.0006,8,0.2,0.02,0.4118
SAU,Saudi Arabia,Asia,9.79454474,0.1598,0.04,79.4,0.206,0.0412,32098.69,0.851,0.1276,0.1183,0.5058,0.1012,34707884.23,0.545,0.0545,16,0.4,0.04,0.4045
EST,Estonia,Europe,11.695557586625,0.1909,0.0477,81.4,0.186,0.0372,26902.16,0.8751,0.1313,0.1776,0.7593,0.1519,192285.0,0.003,0.0003,8,0.2,0.02,0.3884
UKR,Ukraine,Europe,12.94241001555,0.2112,0.0528,72.7,0.273,0.0546,4288.97,0.9801,0.147,0.119,0.5088,0.1018,4199086.22,0.0659,0.0066,10,0.25,0.025,0.3878
AUT,Austria,Europe,10.928007197125,0.1783,0.0446,88.2,0.118,0.0236,52233.47,0.7576,0.1136,0.1001,0.428,0.0856,32960540.4,0.5175,0.0518,14,0.35,0.035,0.3542
NOR,Norway,Europe,11.708342561125,0.1911,0.0478,90.5,0.095,0.019,90187.2,0.5814,0.0872,0.0778,0.3326,0.0665,13704133.8,0.2152,0.0215,12,0.3,0.03,0.272
